cik,company,form,filing_date,document
0000320193,Apple Inc.,8-K,2017-05-02,a8-kq22017412017.htm
0000320193,Apple Inc.,8-K,2017-03-03,d348450d8k.htm
0000320193,Apple Inc.,8-K,2017-03-01,d342218d8k.htm
0000320193,Apple Inc.,8-K,2017-02-09,d340350d8k.htm
0000320193,Apple Inc.,SC 13G/A,2017-02-09,appleinc.htm
0000320193,Apple Inc.,10-Q,2017-02-01,a10-qq1201712312016.htm
0000320193,Apple Inc.,8-K,2017-01-31,a8-kq1201712312016.htm
0000320193,Apple Inc.,SC 13G/A,2017-01-19,apple.inc.txt
0000320193,Apple Inc.,DEFA14A,2017-01-06,d307349ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2017-01-06,d257185ddef14a.htm
0000320193,Apple Inc.,8-K,2016-12-15,form8-k121316.htm
0000320193,Apple Inc.,10-K,2016-10-26,a201610-k9242016.htm
0000320193,Apple Inc.,8-K,2016-10-25,a8-kq420169242016.htm
0000320193,Apple Inc.,8-K,2016-08-04,d234980d8k.htm
0000320193,Apple Inc.,10-Q,2016-07-27,a10-qq320166252016.htm
0000320193,Apple Inc.,8-K,2016-07-26,a8-kq320166252016.htm
0000320193,Apple Inc.,8-K,2016-06-22,d209946d8k.htm
0000320193,Apple Inc.,10-Q,2016-04-27,d165350d10q.htm
0000320193,Apple Inc.,8-K,2016-04-26,d325078d8k.htm
0000320193,Apple Inc.,8-K,2016-03-24,d161597d8k.htm
0000320193,Apple Inc.,8-K,2016-03-01,d150918d8k.htm
0000320193,Apple Inc.,8-K,2016-02-23,d143184d8k.htm
0000320193,Apple Inc.,SC 13G/A,2016-02-10,appleinc.htm
0000320193,Apple Inc.,10-Q,2016-01-27,d66145d10q.htm
0000320193,Apple Inc.,8-K,2016-01-26,d22806d8k.htm
0000320193,Apple Inc.,SC 13G/A,2016-01-25,apple.inc.2015.txt
0000320193,Apple Inc.,DEFA14A,2016-01-06,d10999ddefa14a.htm
0000320193,Apple Inc.,DEF 14A,2016-01-06,d79474ddef14a.htm
0000320193,Apple Inc.,8-K,2015-12-22,d55543d8k.htm
0000320193,Apple Inc.,8-K,2015-12-17,d107635d8k.htm
0000320193,Apple Inc.,10-K,2015-10-28,d17062d10k.htm
0000320193,Apple Inc.,8-K,2015-10-27,d74332d8k.htm
0000320193,Apple Inc.,8-K,2015-10-02,d10101d8k.htm
0000320193,Apple Inc.,8-K,2015-09-17,d31615d8k.htm
0000320193,Apple Inc.,8-K,2015-07-31,d12789d8k.htm
0000320193,Apple Inc.,10-Q,2015-07-22,d927922d10q.htm
0000320193,Apple Inc.,8-K,2015-07-21,d927923d8k.htm
0000320193,Apple Inc.,8-K,2015-06-10,d938654d8k.htm
0000320193,Apple Inc.,8-K,2015-05-13,d923398d8k.htm
0000320193,Apple Inc.,10-Q,2015-04-28,d892246d10q.htm
0000320193,Apple Inc.,8-K,2015-04-27,d914157d8k.htm
0000320193,Apple Inc.,8-K,2015-04-27,d901296d8k.htm
0000320193,Apple Inc.,8-K,2015-03-13,a15-5624_18k.htm
0001045810,NVIDIA CORP,10-K,2026-02-25,nvda-20260125.htm
0001045810,NVIDIA CORP,8-K,2026-02-25,nvda-20260225.htm
0001045810,NVIDIA CORP,13F-HR,2026-02-17,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,SCHEDULE 13G/A,2026-01-30,xslSCHEDULE_13G_X01/primary_doc.xml
0001045810,NVIDIA CORP,SCHEDULE 13G/A,2026-01-26,xslSCHEDULE_13G_X01/primary_doc.xml
0001045810,NVIDIA CORP,8-K,2026-01-23,nvda-20260120.htm
0001045810,NVIDIA CORP,10-Q,2025-11-19,nvda-20251026.htm
0001045810,NVIDIA CORP,8-K,2025-11-19,nvda-20251119.htm
0001045810,NVIDIA CORP,13F-HR,2025-11-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,10-Q,2025-08-27,nvda-20250727.htm
0001045810,NVIDIA CORP,8-K,2025-08-27,nvda-20250827.htm
0001045810,NVIDIA CORP,13F-HR,2025-08-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,8-K,2025-08-05,nvda-20250731.htm
0001045810,NVIDIA CORP,8-K,2025-07-01,nvda-20250625.htm
0001045810,NVIDIA CORP,10-Q,2025-05-28,nvda-20250427.htm
0001045810,NVIDIA CORP,8-K,2025-05-28,nvda-20250528.htm
0001045810,NVIDIA CORP,SCHEDULE 13G,2025-05-15,xslSCHEDULE_13G_X01/primary_doc.xml
0001045810,NVIDIA CORP,13F-HR,2025-05-15,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,DEFA14A,2025-05-13,noticeof2025annualmeeting1.htm
0001045810,NVIDIA CORP,DEF 14A,2025-05-13,nvda-20250512.htm
0001045810,NVIDIA CORP,8-K,2025-04-15,nvda-20250409.htm
0001045810,NVIDIA CORP,8-K,2025-03-07,nvda-20250303.htm
0001045810,NVIDIA CORP,10-K,2025-02-26,nvda-20250126.htm
0001045810,NVIDIA CORP,8-K,2025-02-26,nvda-20250226.htm
0001045810,NVIDIA CORP,SCHEDULE 13G/A,2025-02-14,xslSCHEDULE_13G_X01/primary_doc.xml
